"","Date","Country Name","Country EU Code","Product Name","Currency Code","Prices Unit","Euro exchange rate","Weekly price with taxes","Weekly price without taxes"
"1",2016-01-04,"Austria","AT","Automotive gas oil","EUR","1000L","1","987","412.86"
"2",2016-01-04,"Austria","AT","Euro-super 95","EUR","1000L","1","1094","418.31"
"3",2016-01-04,"Austria","AT","Fuel oil - Sulphur less than 1%","EUR","t","1","243.7","176"
"4",2016-01-04,"Austria","AT","Heating gas oil","EUR","1000L","1","567.39","363.64"
"5",2016-01-04,"Belgium","BE","Automotive gas oil","EUR","1000L","1","1003.7","364.67"
"6",2016-01-04,"Belgium","BE","Euro-super 95","EUR","1000L","1","1205.5","377.18"
"7",2016-01-04,"Belgium","BE","Fuel oil - Sulphur less than 1%","EUR","t","1","164.61","148.37"
"8",2016-01-04,"Belgium","BE","Heating gas oil","EUR","1000L","1","416.6","325.65"
"9",2016-01-04,"Belgium","BE","LPG - motor fuel","EUR","1000L","1","456","376.86"
"10",2016-01-04,"Bulgaria","BG","Automotive gas oil","BGN","1000L","0.511299723898149","1054.59147152061","549.038756519071"
"11",2016-01-04,"Bulgaria","BG","Euro-super 95","BGN","1000L","0.511299723898149","1043.19971367215","506.309438592903"
"12",2016-01-04,"Bulgaria","BG","Heating gas oil","BGN","1000L","0.511299723898149","557.725738828101","439.20646282851"
"13",2016-01-04,"Bulgaria","BG","LPG - motor fuel","BGN","1000L","0.511299723898149","458.998875140607","288.536660190203"
"14",2016-01-04,"Croatia","HR","Automotive gas oil","HRK","1000L","0.130864359091801","1009.22593731597","406.935811031865"
"15",2016-01-04,"Croatia","HR","Euro-super 95","HRK","1000L","0.130864359091801","1152.26068180331","416.672119348295"
"16",2016-01-04,"Croatia","HR","Fuel oil - Sulphur less than 1%","HRK","t","0.130864359091801","319.963357979454","299.025060524766"
"17",2016-01-04,"Croatia","HR","Heating gas oil","HRK","1000L","0.130864359091801","479.356147353268","338.598442714127"
"18",2016-01-04,"Croatia","HR","LPG - motor fuel","HRK","1000L","0.130864359091801","510.632729176209","401.256297847281"
"19",2016-01-04,"Cyprus","CY","Automotive gas oil","EUR","1000L","1","1116.95","477.91"
"20",2016-01-04,"Cyprus","CY","Euro-super 95","EUR","1000L","1","1152.2","478.54"
"21",2016-01-04,"Cyprus","CY","Fuel oil - Sulphur less than 1%","EUR","t","1","477.58","459.88"
"22",2016-01-04,"Cyprus","CY","Heating gas oil","EUR","1000L","1","665.02","423.41"
"23",2016-01-04,"Czech Republic","CZ","Automotive gas oil","CZK","1000L","0.0370055138215594","1051.95574140547","464.17459201421"
"24",2016-01-04,"Czech Republic","CZ","Euro-super 95","CZK","1000L","0.0370055138215594","1032.71287421826","378.331051326648"
"25",2016-01-04,"Czech Republic","CZ","Fuel oil - Sulphur less than 1%","CZK","t","0.0370055138215594","228.583058875772","211.116456351996"
"26",2016-01-04,"Czech Republic","CZ","Heating gas oil","CZK","1000L","0.0370055138215594","533.989564445102","353.425600414462"
"27",2016-01-04,"Czech Republic","CZ","LPG - motor fuel","CZK","1000L","0.0370055138215594","498.242238093476","331.838433926655"
"28",2016-01-04,"Denmark","DK","Automotive gas oil","DKK","1000L","0.13401232913428","1149.82578397213","497.587778075583"
"29",2016-01-04,"Denmark","DK","Euro-super 95","DKK","1000L","0.13401232913428","1397.74859287054","501.206110962209"
