"","Date","Country","Currency","year_week","WeeklyRate"
"1",2022-01-26,"Brasil","BRL","2022 4",6.07637186305179
"2",2022-01-19,"Brasil","BRL","2022 3",6.2754
"3",2022-01-14,"Brasil","BRL","2022 2",6.36392
"4",2022-01-07,"Brasil","BRL","2022 1",6.41244
"5",2021-12-31,"Brasil","BRL","2021 53",6.3101
"6",2021-12-30,"Brasil","BRL","2021 52",6.3985
"7",2021-12-23,"Brasil","BRL","2021 51",6.44142
"8",2021-12-16,"Brasil","BRL","2021 50",6.37136
"9",2021-12-09,"Brasil","BRL","2021 49",6.34484
"10",2021-12-02,"Brasil","BRL","2021 48",6.3533
"11",2021-11-24,"Brasil","BRL","2021 47",6.29315
"12",2021-11-18,"Brasil","BRL","2021 46",6.2213
"13",2021-11-11,"Brasil","BRL","2021 45",6.36114
"14",2021-10-29,"Brasil","BRL","2021 44",6.5698
"15",2021-10-28,"Brasil","BRL","2021 43",6.51274
"16",2021-10-21,"Brasil","BRL","2021 42",6.45628
"17",2021-10-14,"Brasil","BRL","2021 41",6.37352
"18",2021-10-07,"Brasil","BRL","2021 40",6.3093
"19",2021-09-30,"Brasil","BRL","2021 39",6.2698
"20",2021-09-23,"Brasil","BRL","2021 38",6.20882
"21",2021-09-16,"Brasil","BRL","2021 37",6.16754
"22",2021-09-09,"Brasil","BRL","2021 36",6.17256
"23",2021-09-02,"Brasil","BRL","2021 35",6.13844
"24",2021-08-26,"Brasil","BRL","2021 34",6.24684
"25",2021-08-19,"Brasil","BRL","2021 33",6.22788
"26",2021-08-12,"Brasil","BRL","2021 32",6.14352
"27",2021-08-05,"Brasil","BRL","2021 31",6.1328
"28",2021-07-29,"Brasil","BRL","2021 30",6.10386
"29",2021-07-22,"Brasil","BRL","2021 29",6.10706
"30",2021-07-15,"Brasil","BRL","2021 28",6.13554
"31",2021-07-08,"Brasil","BRL","2021 27",6.06938
"32",2021-07-01,"Brasil","BRL","2021 26",5.8925
"33",2021-06-24,"Brasil","BRL","2021 25",5.95386
"34",2021-06-17,"Brasil","BRL","2021 24",6.12338
"35",2021-06-10,"Brasil","BRL","2021 23",6.1468
"36",2021-06-03,"Brasil","BRL","2021 22",6.32186
"37",2021-05-27,"Brasil","BRL","2021 21",6.49172
"38",2021-05-20,"Brasil","BRL","2021 20",6.42958
"39",2021-05-13,"Brasil","BRL","2021 19",6.37484
"40",2021-05-06,"Brasil","BRL","2021 18",6.5154
"41",2021-04-29,"Brasil","BRL","2021 17",6.55588
"42",2021-04-22,"Brasil","BRL","2021 16",6.69976
"43",2021-04-15,"Brasil","BRL","2021 15",6.76274
"44",2021-04-08,"Brasil","BRL","2021 14",6.6543
"45",2021-04-01,"Brasil","BRL","2021 13",6.72634
"46",2021-03-25,"Brasil","BRL","2021 12",6.58814
"47",2021-03-18,"Brasil","BRL","2021 11",6.67126
"48",2021-03-11,"Brasil","BRL","2021 10",6.83212
"49",2021-03-04,"Brasil","BRL","2021 9",6.77142
"50",2021-02-25,"Brasil","BRL","2021 8",6.61686
"51",2021-02-18,"Brasil","BRL","2021 7",6.51336
"52",2021-02-11,"Brasil","BRL","2021 6",6.5262
"53",2021-02-04,"Brasil","BRL","2021 5",6.51556
"54",2021-01-28,"Brasil","BRL","2021 4",6.57678
"55",2021-01-21,"Brasil","BRL","2021 3",6.39836
"56",2021-01-14,"Brasil","BRL","2021 2",6.55318
"57",2021-01-07,"Brasil","BRL","2021 1",6.476225
"58",2020-12-31,"Brasil","BRL","2020 53",6.36545
"59",2020-12-29,"Brasil","BRL","2020 52",6.340875
"60",2020-12-22,"Brasil","BRL","2020 51",6.26192
"61",2020-12-15,"Brasil","BRL","2020 50",6.16134
"62",2020-12-08,"Brasil","BRL","2020 49",6.25576
"63",2020-12-01,"Brasil","BRL","2020 48",6.36514
"64",2020-11-24,"Brasil","BRL","2020 47",6.3486
"65",2020-11-17,"Brasil","BRL","2020 46",6.40572
"66",2020-11-10,"Brasil","BRL","2020 45",6.49496
"67",2020-11-03,"Brasil","BRL","2020 44",6.72272
"68",2020-10-27,"Brasil","BRL","2020 43",6.63968
