"nutrient","nutrient_unit","nutrient_value","food_type"
"Protein","G",0.26,"Apple"
"Total lipid (fat)","G",0.17,"Apple"
"Carbohydrate, by difference","G",13.8,"Apple"
"Energy","KCAL",52,"Apple"
"Water","G",85.6,"Apple"
"Sugars, total including NLEA","G",10.4,"Apple"
"Fiber, total dietary","G",2.4,"Apple"
"Calcium, Ca","MG",6,"Apple"
"Iron, Fe","MG",0.12,"Apple"
"Magnesium, Mg","MG",5,"Apple"
"Phosphorus, P","MG",11,"Apple"
"Potassium, K","MG",107,"Apple"
"Sodium, Na","MG",1,"Apple"
"Zinc, Zn","MG",0.04,"Apple"
"Vitamin A, RAE","UG",3,"Apple"
"Vitamin E (alpha-tocopherol)","MG",0.18,"Apple"
"Vitamin D (D2 + D3)","UG",0,"Apple"
"Vitamin C, total ascorbic acid","MG",4.6,"Apple"
"Vitamin B-6","MG",0.041,"Apple"
"Vitamin B-12","UG",0,"Apple"
"Vitamin K (phylloquinone)","UG",2.2,"Apple"
"Folic acid","UG",0,"Apple"
"Cholesterol","MG",0,"Apple"
"Protein","G",0.36,"Pear"
"Total lipid (fat)","G",0.14,"Pear"
"Carbohydrate, by difference","G",15.2,"Pear"
"Energy","KCAL",57,"Pear"
"Water","G",84,"Pear"
"Sugars, total including NLEA","G",9.75,"Pear"
"Fiber, total dietary","G",3.1,"Pear"
"Calcium, Ca","MG",9,"Pear"
"Iron, Fe","MG",0.18,"Pear"
"Magnesium, Mg","MG",7,"Pear"
"Phosphorus, P","MG",12,"Pear"
"Potassium, K","MG",116,"Pear"
"Sodium, Na","MG",1,"Pear"
"Zinc, Zn","MG",0.1,"Pear"
"Vitamin A, RAE","UG",1,"Pear"
"Vitamin E (alpha-tocopherol)","MG",0.12,"Pear"
"Vitamin D (D2 + D3)","UG",0,"Pear"
"Vitamin C, total ascorbic acid","MG",4.3,"Pear"
"Vitamin B-6","MG",0.029,"Pear"
"Vitamin B-12","UG",0,"Pear"
"Vitamin K (phylloquinone)","UG",4.4,"Pear"
"Folic acid","UG",0,"Pear"
"Cholesterol","MG",0,"Pear"
"Protein","G",0.72,"Grapes"
"Total lipid (fat)","G",0.16,"Grapes"
"Carbohydrate, by difference","G",18.1,"Grapes"
"Energy","KCAL",69,"Grapes"
"Water","G",80.5,"Grapes"
