"food","type","country","size"
"Apple","Boskoop","Germany","lose"
"Apple","Braeburn","Germany","lose"
"Apple","Braeburn","Italy","70/75"
"Apple","Braeburn","Italy","75/80"
"Apple","Braeburn","Italy","80/85"
"Apple","Elstar","Germany","75/80"
"Apple","Elstar","Germany","lose"
"Apple","Elstar","Netherlands","lose"
"Apple","Gala","Germany","lose"
"Apple","Gala","Italy","70/75"
"Apple","Gala","Italy","75/80"
"Apple","Gala","Italy","80/85"
"Apple","Gala","Italy","lose"
"Apple","Granny Smith","France","70/75"
"Apple","Granny Smith","France","75/80"
"Apple","Granny Smith","Italy","70/75"
"Apple","Granny Smith","Italy","75/80"
"Apple","Granny Smith","Italy","80/85"
"Apple","Granny Smith","Italy","lose"
"Apple","Holsteiner Cox","Germany","lose"
"Apple","Jazz","France","75/80"
"Apple","Jazz","France","80/85"
"Apple","Jazz","New Zealand","70/75"
"Apple","Jazz","New Zealand","75/80"
"Apple","Jonagold","Germany","75/80"
"Apple","Jonagold","Germany","80/85"
"Apple","Jonagold","Germany","lose"
"Apple","Jonagored","Germany","lose"
"Apple","Kanzi","Germany","75/80"
"Apple","Kanzi","Germany","lose"
"Apple","Kanzi","Italy","70/75"
"Apple","Kanzi","Italy","75/80"
"Apple","Pink Lady","Chile","75/80"
"Apple","Pink Lady","France","75/80"
"Apple","Pink Lady","France","80/85"
"Apple","Pink Lady","Italy","70/75"
"Apple","Pinova","Germany","lose"
"Apple","Red Delicious","Germany","lose"
"Apple","Red Delicious","Italy","70/75"
"Apple","Red Delicious","Italy","75/80"
"Apple","Red Delicious","Italy","80/85"
"Artichoke","unknown","France","/"
"Artichoke","unknown","Italy","/"
"Banana","Erstmarke","unknown","/"
"Banana","other brands","unknown","/"
"Beans","Bush bean","Morocco","/"
"Beans","Runner bean","Morocco","/"
"Beans","Runner bean","Spain","/"
"Bell Pepper","green","Belgium","/"
"Bell Pepper","green","Netherlands","/"
"Bell Pepper","green","Spain","/"
"Bell Pepper","green","Turkey","/"
"Bell Pepper","red","Belgium","/"
"Bell Pepper","red","Netherlands","/"
"Bell Pepper","red","Spain","/"
"Bell Pepper","red","Turkey","/"
"Bell Pepper","yellow","Belgium","/"
"Bell Pepper","yellow","Netherlands","/"
"Bell Pepper","yellow","Spain","/"
"Carrot","loose","Belgium","/"
"Carrot","loose","Germany","/"
"Carrot","loose","Italy","/"
"Carrot","loose","Netherlands","/"
"Cauliflower","unknown","Belgium","6er"
"Cauliflower","unknown","France","6er"
