"","Date","Inflation","Country"
"1","2021-10-31","4.5","DEU"
"2","2021-09-30","4.1","DEU"
"3","2021-08-31","3.9","DEU"
"4","2021-07-31","3.8","DEU"
"5","2021-06-30","2.3","DEU"
"6","2021-05-31","2.5","DEU"
"7","2021-04-30","2","DEU"
"8","2021-03-31","1.7","DEU"
"9","2021-02-28","1.3","DEU"
"10","2021-01-31","1","DEU"
"11","2020-12-31","-0.3","DEU"
"12","2020-11-30","-0.3","DEU"
"13","2020-10-31","-0.2","DEU"
"14","2020-09-30","-0.2","DEU"
"15","2020-08-31","0","DEU"
"16","2020-07-31","-0.1","DEU"
"17","2020-06-30","0.9","DEU"
"18","2020-05-31","0.6","DEU"
"19","2020-04-30","0.9","DEU"
"20","2020-03-31","1.4","DEU"
"21","2020-02-29","1.7","DEU"
"22","2020-01-31","1.7","DEU"
"23","2019-12-31","1.5","DEU"
"24","2019-11-30","1.1","DEU"
"25","2019-10-31","1.1","DEU"
"26","2019-09-30","1.2","DEU"
"27","2019-08-31","1.4","DEU"
"28","2019-07-31","1.7","DEU"
"29","2019-06-30","1.6","DEU"
"30","2019-05-31","1.4","DEU"
"31","2019-04-30","2","DEU"
"32","2019-03-31","1.3","DEU"
"33","2019-02-28","1.5","DEU"
"34","2019-01-31","1.4","DEU"
"35","2018-12-31","1.6","DEU"
"36","2018-11-30","2.1","DEU"
"37","2018-10-31","2.3","DEU"
"38","2018-09-30","1.9","DEU"
"39","2018-08-31","1.9","DEU"
"40","2018-07-31","1.9","DEU"
"41","2018-06-30","1.9","DEU"
"42","2018-05-31","2.1","DEU"
"43","2018-04-30","1.3","DEU"
"44","2018-03-31","1.5","DEU"
"45","2018-02-28","1.1","DEU"
"46","2018-01-31","1.4","DEU"
"47","2017-12-31","1.4","DEU"
"48","2017-11-30","1.6","DEU"
"49","2017-10-31","1.3","DEU"
"50","2017-09-30","1.7","DEU"
"51","2017-08-31","1.6","DEU"
"52","2017-07-31","1.4","DEU"
"53","2017-06-30","1.4","DEU"
"54","2017-05-31","1.2","DEU"
"55","2017-04-30","1.7","DEU"
"56","2017-03-31","1.4","DEU"
"57","2017-02-28","1.9","DEU"
"58","2017-01-31","1.6","DEU"
"59","2016-12-31","1.5","DEU"
"60","2016-11-30","0.8","DEU"
"61","2016-10-31","0.8","DEU"
"62","2016-09-30","0.6","DEU"
"63","2016-08-31","0.4","DEU"
"64","2016-07-31","0.5","DEU"
"65","2016-06-30","0.3","DEU"
"66","2016-05-31","0.2","DEU"
"67","2016-04-30","-0.1","DEU"
"68","2016-03-31","0.3","DEU"
"69","2016-02-29","0.1","DEU"
"70","2016-01-31","0.5","DEU"
"71","2021-10-31","6.222","USA"
"72","2021-09-30","5.39","USA"
"73","2021-08-31","5.251","USA"
"74","2021-07-31","5.365","USA"
"75","2021-06-30","5.391","USA"
"76","2021-05-31","4.993","USA"
"77","2021-04-30","4.16","USA"
"78","2021-03-31","2.62","USA"
"79","2021-02-28","1.676","USA"
"80","2021-01-31","1.4","USA"
"81","2020-12-31","1.362","USA"
"82","2020-11-30","1.175","USA"
"83","2020-10-31","1.182","USA"
"84","2020-09-30","1.371","USA"
"85","2020-08-31","1.31","USA"
"86","2020-07-31","0.986","USA"
"87","2020-06-30","0.646","USA"
"88","2020-05-31","0.118","USA"
"89","2020-04-30","0.329","USA"
"90","2020-03-31","1.539","USA"
"91","2020-02-29","2.335","USA"
"92","2020-01-31","2.487","USA"
"93","2019-12-31","2.285","USA"
"94","2019-11-30","2.051","USA"
"95","2019-10-31","1.764","USA"
"96","2019-09-30","1.711","USA"
"97","2019-08-31","1.75","USA"
"98","2019-07-31","1.811","USA"
"99","2019-06-30","1.648","USA"
"100","2019-05-31","1.79","USA"
"101","2019-04-30","1.996","USA"
"102","2019-03-31","1.863","USA"
"103","2019-02-28","1.52","USA"
"104","2019-01-31","1.551","USA"
"105","2018-12-31","1.91","USA"
"106","2018-11-30","2.177","USA"
"107","2018-10-31","2.522","USA"
"108","2018-09-30","2.277","USA"
"109","2018-08-31","2.699","USA"
"110","2018-07-31","2.95","USA"
"111","2018-06-30","2.872","USA"
"112","2018-05-31","2.801","USA"
"113","2018-04-30","2.463","USA"
"114","2018-03-31","2.36","USA"
"115","2018-02-28","2.212","USA"
"116","2018-01-31","2.071","USA"
"117","2017-12-31","2.109","USA"
"118","2017-11-30","2.203","USA"
"119","2017-10-31","2.041","USA"
"120","2017-09-30","2.233","USA"
"121","2017-08-31","1.939","USA"
"122","2017-07-31","1.72","USA"
"123","2017-06-30","1.625","USA"
"124","2017-05-31","1.872","USA"
"125","2017-04-30","2.2","USA"
"126","2017-03-31","2.381","USA"
"127","2017-02-28","2.738","USA"
"128","2017-01-31","2.5","USA"
"129","2016-12-31","2.075","USA"
"130","2016-11-30","1.693","USA"
"131","2016-10-31","1.636","USA"
"132","2016-09-30","1.464","USA"
"133","2016-08-31","1.063","USA"
"134","2016-07-31","0.835","USA"
"135","2016-06-30","1.006","USA"
"136","2016-05-31","1.022","USA"
"137","2016-04-30","1.125","USA"
"138","2016-03-31","0.853","USA"
"139","2016-02-29","1.018","USA"
"140","2016-01-31","1.373","USA"
"141","2021-10-31","2.62","FRA"
"142","2021-09-30","2.16","FRA"
"143","2021-08-31","1.87","FRA"
"144","2021-07-31","1.15","FRA"
"145","2021-06-30","1.48","FRA"
"146","2021-05-31","1.42","FRA"
"147","2021-04-30","1.24","FRA"
"148","2021-03-31","1.11","FRA"
"149","2021-02-28","0.56","FRA"
"150","2021-01-31","0.55","FRA"
"151","2020-12-31","-0.02","FRA"
"152","2020-11-30","0.2","FRA"
"153","2020-10-31","0.05","FRA"
"154","2020-09-30","0.05","FRA"
"155","2020-08-31","0.22","FRA"
