"","0","1","2","3","4","5","6","year","week"
"1","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2019","04"
"2","","","","Speisefrühkartoffeln","","","","2019","04"
"3","Zypern","Annabelle","140 / 148","108 / 140","","","120 / 124","2019","04"
"4","Zypern","Spunta","100 / 108","","","","92 96","2019","04"
"5","","","","Speiselagerkartoffeln","","","","2019","04"
"6","Deutschland","Adretta","40 /44","","","","","2019","04"
"7","Deutschland","Afra","44/52","","40","","","2019","04"
"8","Deutschland","Agata","","","","","52 / 56","2019","04"
"9","Deutschland","Agria","","48/52","","","","2019","04"
"10","Deutschland","Allians","","44/52","40/48","48/52","48/52","2019","04"
"11","Deutschland","Annabelle","","52 / 60","44","48/54","40/50","2019","04"
"12","Deutschland","Belana","44/52","48/52","40 /48","","","2019","04"
"13","Deutschland","Bintje","","","","","40/42","2019","04"
"14","Deutschland","Cilena","40/52","","","48 /52","","2019","04"
"15","Deutschland","Désirée","","","","","38 /42","2019","04"
"16","Deutschland","Ditta","","","","","52","2019","04"
"17","Deutschland","Gala","","48 52","","","","2019","04"
"18","Deutschland","Goldmarie","","56/60","","","","2019","04"
"19","Deutschland","Gunda","","48/52","","","","2019","04"
"20","Deutschland","Laura","48/52","48/52","42/48","48/50","","2019","04"
"21","Deutschland","Leyla","52 / 64","48 52","40/48","48/50","","2019","04"
"22","Deutschland","Linda","44/52","56 60","40/48","","","2019","04"
"23","Deutschland","Marabel","","48/52","","44/48","46/50","2019","04"
"24","Deutschland","Melody","","52","","44/48","","2019","04"
"25","Deutschland","Nicola","","","","","38/42","2019","04"
"26","Deutschland","Princess","44 /52","","","","","2019","04"
"27","Deutschland","Sieglinde","","80 88","","","54/58","2019","04"
"28","Frankreich","Agata","73 80","104 / 108","","","","2019","04"
"29","Frankreich","Charlotte","112/120","","","","","2019","04"
"30","Frankreich","Cherie","96/112","","","","","2019","04"
"31","Niederlande","Victoria","","56","","","","2019","04"
"32","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln /100 kg von / bis","München € / 100 kg von / bis","2019","05"
"33","","","","Speisefrühkartoffeln","","","","2019","05"
"34","Italien","Annabelle","144 / 152","","","","","2019","05"
"35","Zypern","Annabelle","140 / 148","112","","","122 / 126","2019","05"
"36","Zypern","Spunta","100 / 108","","","","94 / 98","2019","05"
"37","","","","Speiselagerkartoffeln","","","","2019","05"
"38","Deutschland","Adretta","40 44","","","","","2019","05"
"39","Deutschland","Afra","44 / 52","","40","","","2019","05"
"40","Deutschland","Agria","","48 52","","","38 / 40","2019","05"
"41","Deutschland","Allians","","44/48","40 / 48","48 /52","48 / 52","2019","05"
"42","Deutschland","Annabelle","","48 / 56","44","48 / 54","40 /52","2019","05"
"43","Deutschland","Belana","44 / 52","44 / 48","40 /48","","","2019","05"
"44","Deutschland","Bintje","","","","","40 /42","2019","05"
"45","Deutschland","Cilena","40 / 52","","","48 / 52","","2019","05"
"46","Deutschland","Concordia","","48 / 52","","","","2019","05"
"47","Deutschland","Désirée","","","","","38 / 42","2019","05"
"48","Deutschland","Ditta","","","","","52","2019","05"
"49","Deutschland","Gala","","48/52","","","","2019","05"
"50","Deutschland","Goldmarie","","52 / 56","","","","2019","05"
"51","Deutschland","Gunda","","48","","","","2019","05"
"52","Deutschland","Laura","48 /52","48","42/48","48 / 50","","2019","05"
"53","Deutschland","Leyla","","48","40 / 48","48/50","","2019","05"
"54","Deutschland","Linda","44 / 52","56 / 60","40 / 48","","","2019","05"
"55","Deutschland","Marabel","","48 / 52","","44 / 48","38/50","2019","05"
"56","Deutschland","Melody","","48","","44 / 48","","2019","05"
"57","Deutschland","Nicola","","","","","40 / 42","2019","05"
"58","Deutschland","Princess","44 / 52","","","","","2019","05"
"59","Deutschland","Sieglinde","","80 84","","","54 / 58","2019","05"
"60","Frankreich","Agata","73/80","104 / 108","","","","2019","05"
"61","Frankreich","Charlotte","112 / 120","","","","","2019","05"
"62","Frankreich","Cherie","96 / 112","","","","","2019","05"
"63","Niederlande","Victoria","","52 / 54","","","","2019","05"
"64","Herkunft","Sorte","Berlin 100 kg von / bis","Frankfurt /100 kg von / bis","Hamburg /100 kg von / bis","Köln €/100 kg von / bis","München 100 kg von / bis","2019","11"
"65","","","","Speisefrühkartoffeln","","","","2019","11"
"66","Italien","Annabelle","","132","120/124","","","2019","11"
"67","Italien","Bellini","","","","","104 112","2019","11"
"68","Italien","Sieglinde","","124/132","120/124","","144 152","2019","11"
"69","Italien","Spunta","","","","","112 116","2019","11"
"70","Marokko","Nicola","","87 /90","","","87 93","2019","11"
"71","Tunesien","Spunta","","80","","","","2019","11"
"72","Zypern","Annabelle","136/140","132/140","116/120","116/142","124/132","2019","11"
"73","Zypern","Spunta","96/104","","","","94 /100","2019","11"
"74","","","","Speiselagerkartoffeln","","","","2019","11"
"75","Deutschland","Adretta","48/52","","","","","2019","11"
"76","Deutschland","Afra","48/60","","46/50","","","2019","11"
"77","Deutschland","Agria","","","","","40/46","2019","11"
"78","Deutschland","Allians","","","46/50","48/52","","2019","11"
"79","Deutschland","Annabelle","56/60","","","46/58","40/56","2019","11"
"80","Deutschland","Belana","48/60","","46/50","","","2019","11"
"81","Deutschland","Bintje","","","","","44/48","2019","11"
"82","Deutschland","Cilena","52/60","","","48/52","","2019","11"
"83","Deutschland","Colombo","","44/50","","","","2019","11"
"84","Deutschland","Concordia","","44/48","","","","2019","11"
"85","Deutschland","Désirée","","","","","40/46","2019","11"
"86","Deutschland","Ditta","","","","","40/46","2019","11"
"87","Deutschland","Gala","","48","","","","2019","11"
"88","Deutschland","Goldmarie","","52/56","","","","2019","11"
"89","Deutschland","Gunda","","48","","","","2019","11"
"90","Deutschland","Jelly","56/64","","","","","2019","11"
"91","Deutschland","Laura","56/64","48","46/50","48/50","","2019","11"
"92","Deutschland","Leyla","","48","46/50","48/50","","2019","11"
"93","Deutschland","Linda","56/64","56/60","46/50","","","2019","11"
"94","Deutschland","Marabel","","44/56","","44/48","40/54","2019","11"
"95","Deutschland","Melody","","48","","44/48","","2019","11"
"96","Deutschland","Nicola","","","","","40/46","2019","11"
"97","Deutschland","Princess","48/52","","","","","2019","11"
"98","Deutschland","Regina","","","46/50","","","2019","11"
"99","Deutschland","Sieglinde","","","","","54/58","2019","11"
"100","Frankreich","Agata","80/87","96/104","","","","2019","11"
"101","Frankreich","Charlotte","112/120","","","","","2019","11"
"102","Frankreich","Cherie","96/120","","","","","2019","11"
"103","Italien","Annabelle","","","","","112/120","2019","11"
"104","Niederlande","Victoria","","52/56","","","","2019","11"
"105","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2019","13"
"106","","","","Speisefrühkartoffeln","","","","2019","13"
"107","Italien","Annabelle","88 /148","132","120","","112 / 120","2019","13"
"108","Italien","Bellini","","","","","108 / 112","2019","13"
"109","Italien","Sieglinde","140 / 148","124 / 140","120/132","","144 / 152","2019","13"
"110","Italien","Spunta","","128","","","112 / 116","2019","13"
"111","Marokko","Nicola","93 / 107","80 87","","","87 / 93","2019","13"
"112","Tunesien","Spunta","","80","","","","2019","13"
"113","Zypern","Annabelle","136 / 146","120 / 136","116/124","124 / 142","128 / 136","2019","13"
"114","Zypern","Spunta","100 / 120","","","","100 / 104","2019","13"
"115","","","","Speiselagerkartoffeln","","","","2019","13"
"116","Deutschland","Afra","52 / 62","","46 / 50","","","2019","13"
"117","Deutschland","Agria","","44 / 48","","","40 / 46","2019","13"
"118","Deutschland","Allians","","44 / 50","46 / 50","48 /52","","2019","13"
"119","Deutschland","Annabelle","56 / 60","48 / 58","","46 /58","44 / 58","2019","13"
"120","Deutschland","Belana","52 / 60","44 / 52","46 / 50","","","2019","13"
"121","Deutschland","Cilena","56 / 60","","","48/52","","2019","13"
"122","Deutschland","Laura","56 / 62","48","46 50","48/50","","2019","13"
"123","Deutschland","Leyla","","48","46 50","48 /50","","2019","13"
"124","Deutschland","Linda","56 / 64","56 / 60","46 / 50","","","2019","13"
"125","Deutschland","Marabel","","44/56","","44/48","40 / 54","2019","13"
"126","Deutschland","Melody","","48","","44/48","","2019","13"
