"","0","1","2","3","4","5","6","year","week"
"1","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2021","43"
"2","Deutschland","Afra","48 / 56","","28 / 34","36 / 40","","2021","43"
"3","Deutschland","Agria","","36 / 40","","","","2021","43"
"4","Deutschland","Allians","","","32 / 40","40 /44","","2021","43"
"5","Deutschland","Annabelle","28 / 80","38 / 40","28 / 40","32 / 54","34 / 44","2021","43"
"6","Deutschland","Belana","48 / 56","38 / 40","32 / 40","","","2021","43"
"7","Deutschland","Berber","28 / 44","","","","","2021","43"
"8","Deutschland","Bintje","","","","","32/36","2021","43"
"9","Deutschland","Cilena","40 / 56","","","40 / 44","","2021","43"
"10","Deutschland","Glorietta","","","","40 / 44","","2021","43"
"11","Deutschland","Goldmarie","","38 / 40","","","","2021","43"
"12","Deutschland","Gunda","","","","36 / 40","","2021","43"
"13","Deutschland","Laura","48 / 56","38 / 40","30 / 42","36 / 40","","2021","43"
"14","Deutschland","Leyla","72 / 80","36 / 40","28 / 34","40 / 44","","2021","43"
"15","Deutschland","Lilly","","36 / 40","","","","2021","43"
"16","Deutschland","Linda","32 / 44","","30 / 34","","","2021","43"
"17","Deutschland","Madeira","48 / 56","","","","","2021","43"
"18","Deutschland","Marabel","","36 / 48","","36/40","30 / 36","2021","43"
"19","Deutschland","Nicola","","","","","28 / 36","2021","43"
"20","Deutschland","Sieglinde","72 / 80","64","","","56 / 60","2021","43"
"21","Frankreich","Agata","87 / 100","88 / 96","","","","2021","43"
"22","Frankreich","Cherie","112 / 136","","","","","2021","43"
"23","Frankreich","Santé","107 / 120","","","","","2021","43"
"24","Italien","Agata","","83","","","","2021","43"
"25","Niederlande","Victoria","","42/52","","","","2021","43"
"26","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2021","44"
"27","Deutschland","Afra","48 / 56","","28 / 30","36 / 40","","2021","44"
"28","Deutschland","Agria","","36 / 40","","","","2021","44"
"29","Deutschland","Allians","","","32 / 40","40 / 44","","2021","44"
"30","Deutschland","Annabelle","28 / 80","38 / 42","28 / 40","32 / 54","36 / 40","2021","44"
"31","Deutschland","Belana","48 / 56","38 / 40","30 / 34","","","2021","44"
"32","Deutschland","Berber","28 / 44","","","","","2021","44"
"33","Deutschland","Bintje","","","","","34 / 38","2021","44"
"34","Deutschland","Cilena","40 / 56","","","40 / 44","","2021","44"
"35","Deutschland","Glorietta","","","","40 / 44","","2021","44"
"36","Deutschland","Goldmarie","","38 / 40","","","","2021","44"
"37","Deutschland","Gunda","","","","36 / 40","","2021","44"
"38","Deutschland","Laura","48 / 56","38 / 40","30 / 40","36 / 40","","2021","44"
"39","Deutschland","Leyla","72 / 80","36 / 40","28 / 32","40 / 44","","2021","44"
"40","Deutschland","Lilly","","36 / 40","","","","2021","44"
"41","Deutschland","Linda","32 / 44","","30 / 34","","","2021","44"
"42","Deutschland","Madeira","48 / 56","","","","","2021","44"
"43","Deutschland","Marabel","32 / 44","36 / 44","","36/40","34 / 38","2021","44"
"44","Deutschland","Nicola","","","","","32 / 36","2021","44"
"45","Deutschland","Sieglinde","72 / 80","64","","","56 / 60","2021","44"
"46","Frankreich","Agata","87 / 100","88 / 96","","","","2021","44"
"47","Frankreich","Cherie","112 / 136","","","","","2021","44"
"48","Frankreich","Santé","107 / 120","","","","","2021","44"
"49","Niederlande","Victoria","","42/52","","","","2021","44"
"50","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2021","45"
"51","Deutschland","Afra","48 / 56","","28 / 30","36 / 40","","2021","45"
"52","Deutschland","Agria","","36 / 40","","","","2021","45"
"53","Deutschland","Allians","","36","32 / 40","40 / 44","","2021","45"
"54","Deutschland","Annabelle","28 / 44","38 / 42","28 / 40","32 / 54","32 / 40","2021","45"
"55","Deutschland","Belana","48 / 56","38 / 40","30 / 34","","","2021","45"
"56","Deutschland","Berber","28 / 44","","","","","2021","45"
"57","Deutschland","Bintje","","","","","34 / 38","2021","45"
"58","Deutschland","Cilena","40 / 56","","","40 / 44","","2021","45"
"59","Deutschland","Glorietta","","","","40 / 44","","2021","45"
"60","Deutschland","Goldmarie","","38 / 40","","","","2021","45"
"61","Deutschland","Gunda","","","","36 / 40","","2021","45"
"62","Deutschland","Laura","48 / 56","38 / 40","30 / 40","36 / 40","","2021","45"
"63","Deutschland","Leyla","","36 / 40","28 / 32","40 / 44","","2021","45"
"64","Deutschland","Lilly","","36 / 40","","","","2021","45"
"65","Deutschland","Linda","32 / 44","","30 / 34","","","2021","45"
"66","Deutschland","Madeira","48 / 56","","","","","2021","45"
"67","Deutschland","Marabel","32 / 44","36 / 44","","36 / 40","34 / 38","2021","45"
"68","Deutschland","Nicola","","","","","32 / 36","2021","45"
"69","Deutschland","Sieglinde","","64","","","56 / 60","2021","45"
"70","Frankreich","Agata","","88 / 96","","","","2021","45"
"71","Niederlande","Victoria","","52","","","","2021","45"
"72","Herkunft","Sorte","Berlin € / 100 kg von / bis","Frankfurt € / 100 kg von / bis","Hamburg € / 100 kg von / bis","Köln € / 100 kg von / bis","München € / 100 kg von / bis","2021","46"
"73","","","","Speisefrühkartoffeln","","","","2021","46"
"74","Zypern","Annabelle","","","120","","","2021","46"
"75","","","","Speiselagerkartoffeln","","","","2021","46"
"76","Deutschland","Afra","48 / 56","","28 / 30","36 / 40","","2021","46"
"77","Deutschland","Agria","","36/38","","","","2021","46"
"78","Deutschland","Allians","","36","32 / 40","40 / 44","","2021","46"
