Country,City,Company_name,Type,latitude,longitude
Germany,Musterhausen,Beendet,Leguminous vegetables,51.47339,6.97502
Italy,Montevarchi,Casilli l. & figlio,Leguminous vegetables,43.5213,11.5685
Italy,Latina,San carlo,Leguminous vegetables,41.4627,12.9053
Italy,Scafati,Izzo umberto,Leguminous vegetables,40.7482,14.5283
Poland,Krakow,Fht tracking,Leguminous vegetables,50.0605,19.9324
Turkey,Gaziantep,Şanligazi,Leguminous vegetables,37.0625,37.3751
Turkey,Istanbul,Maruf kuruyemişleri,Leguminous vegetables,41.062,28.9888
Turkey,Giresun,Özkul ticaret,Leguminous vegetables,40.9152,38.383
Poland,Krakow,Fht tracking,Leguminous vegetables,50.0605,19.9324
Poland,Tomaszow lubelski,Ppz sława sp.z o.o,Leguminous vegetables,50.45274,23.41892
Germany,Remagen,Imarti naturkost gmbh&co.kg,Leguminous vegetables,50.58,7.22411
Spain,Tudela-navarra,"Alimentos sanygran, s.l.",Leguminous vegetables,42.06207,-1.6031
Poland,Telatyn,Szarek- purchase and sale of agricultural crops,Leguminous vegetables,50.52717,23.8441
France,Saint claude,Les producteurs de guadeloupe,Tropical Fruits,46.3929,5.86449
France,Capesterre belle eau,Soc agricole de fonds cacao sa,Tropical Fruits,16.0521,-61.566
France,Macouba,Exploitation agricole macouba,Tropical Fruits,14.877,-61.1398
Turkey,Istanbul,Beşir,Tropical Fruits,41.062,28.9888
France,Paris,Moodz,Tropical Fruits,48.8572,2.34141
Spain,Callosa d´en sarria,"Nisperos el tossal, s.l.u.",Tropical Fruits,38.6503,-0.12087
Egypt,Alexandrie,Grand pa farms,Tropical Fruits,44.9072,8.61156
Egypt,Alexandria,E.g.farm,Tropical Fruits,31.2105,29.9125
Morocco,Casablanca,Groupehadixl,Tropical Fruits,33.5966,-7.61889
Peru,Lima,Fe international del peru eirl,Tropical Fruits,-12.0561,-77.0268
Turkey,Istanbul,Panax toptan saticiligi ltd sti,Tropical Fruits,41.062,28.9888
Italy,Milano,Piazza affari,Tropical Fruits,45.468,9.18178
Peru,Lima,Corporacion pacifico trading sac,Tropical Fruits,-12.0561,-77.0268
Italy,Milano,Ortopiazzolla srl,Tropical Fruits,45.468,9.18178
Peru,Lima,Natper sac,Tropical Fruits,-12.0561,-77.0268
Spain,Torre del mar,Martin f,Tropical Fruits,36.74424,-4.08952
