location,country,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,latitude,longitude,vegetables,fruits
costa rica,unknown,2015-01-01,1420092000,24.5,20,22,24.5,20,22,14.3,62.05,0,,0,,,,55.9,37.2,82,1010.5,29.4,10.9,,,0,05:53:15,1420113195,17:26:34,1420154794,0.43,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-02,1420178400,24.5,19.8,21.8,24.5,19.8,21.8,14.5,63.64,0,,0,,,,53.6,31.3,87.5,1011.4,31.6,10.6,,,0,05:53:39,1420199619,17:27:06,1420241226,0.46,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-03,1420264800,27.3,20,23.4,27.5,20,23.4,15.3,61.38,0,,0,,,,46.4,31.7,85.2,1009.5,20.3,10.9,,,0,05:54:02,1420286042,17:27:38,1420327658,0.49,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-04,1420351200,26.5,20.1,22.8,26.5,20.1,22.8,15.4,63.53,0,,0,,,,56.2,36,85.7,1010.8,41.6,10.9,,,0,05:54:25,1420372465,17:28:11,1420414091,0.5,Partially cloudy,Becoming cloudy in the afternoon.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-05,1420437600,25.3,20.3,22.5,25.3,20.3,22.5,14.4,60.84,0,,0,,,,76.7,45.8,83.7,1014.6,50.4,10.7,,,0,05:54:46,1420458886,17:28:43,1420500523,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-06,1420524000,25.3,19.4,22.4,25.3,19.4,22.4,14,59.16,0,,0,,,,68.4,41.7,77.5,1010.2,27,10.9,,,0,05:55:07,1420545307,17:29:15,1420586955,0.51,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-07,1420610400,24.3,18.9,21.2,24.3,18.9,21.2,13.8,62.94,0,,0,,,,61.2,54.6,84.9,1009.9,31.5,10.9,,,0,05:55:28,1420631728,17:29:47,1420673387,0.53,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-08,1420696800,24.8,18.4,21,24.8,18.4,21,13.1,60.97,0,,0,,,,66.1,44.7,89.8,1011.4,29.7,10.6,,,0,05:55:47,1420718147,17:30:19,1420759819,0.55,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-09,1420783200,24.3,19,20.9,24.3,19,20.9,13.6,63.66,0,,0,,,,57,39.5,89.2,1011.5,33.6,10.9,,,0,05:56:05,1420804565,17:30:51,1420846251,0.59,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-10,1420869600,24.5,19.9,21.6,24.5,19.9,21.6,14.7,65.21,0,,0,,,,59.1,43.2,87.9,1011.8,23.6,10.6,,,0,05:56:23,1420890983,17:31:22,1420932682,0.62,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-11,1420956000,25.3,20.8,22.6,25.3,20.8,22.6,15.8,65.66,0,,0,,,,54,35.6,84.3,1010.5,25.8,10.9,,,0,05:56:40,1420977400,17:31:54,1421019114,0.66,Partially cloudy,Becoming cloudy in the afternoon.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-12,1421042400,27.5,21,23.4,27.6,21,23.4,15.3,61.62,0,,0,,,,58.5,36.5,79,1010,21.4,10.9,,,0,05:56:55,1421063815,17:32:25,1421105545,0.71,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-13,1421128800,27.3,20,23,27.7,20,23,16.1,65.98,0,,0,,,,44.6,28.4,75.5,1010.5,41.5,10.9,,,0,05:57:10,1421150230,17:32:55,1421191975,0.76,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-14,1421215200,26.2,20.2,22.7,26.2,20.2,22.7,15.2,63.14,0,,0,,,,57.1,32.3,80.1,1011.3,37.1,10.8,,,0,05:57:24,1421236644,17:33:26,1421278406,0.81,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-15,1421301600,27.5,19.5,22.9,27.4,19.5,22.9,14.6,61.64,0,,0,,,,,22.1,98.2,1011.4,27.6,10.9,,,0,05:57:37,1421323057,17:33:56,1421364836,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-16,1421388000,25.3,20.8,22.2,25.3,20.8,22.2,14.8,63.1,0,,0,,,,57.1,36.8,89.1,1012.3,50.8,10.6,,,0,05:57:49,1421409469,17:34:26,1421451266,0.9,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-17,1421474400,25.3,19.2,21.7,25.3,19.2,21.7,14.4,63.44,0,,0,,,,54.3,35.6,81.3,1013.1,58.8,11,,,0,05:58:00,1421495880,17:34:55,1421537695,0.94,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-18,1421560800,24.5,19,20.8,24.5,19,20.8,14.6,68.04,0,,0,,,,46.4,31.7,93.5,1014.9,52.3,10.9,,,0,05:58:10,1421582290,17:35:24,1421624124,0.98,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-19,1421647200,26,19,21.6,26,19,21.6,15,66.89,0,,0,,,,49.2,32.6,83,1012.8,43.8,10.6,,,0,05:58:19,1421668699,17:35:52,1421710552,1,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-20,1421733600,27.3,20,22.6,27.2,20,22.6,14.3,60.74,0,,0,,,,46.4,31.7,81.7,1011,57.3,10.9,,,0,05:58:28,1421755108,17:36:20,1421796980,1,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-21,1421820000,26.2,18.2,21.6,26.2,18.2,21.6,12.7,58.03,0,,0,,,,42.5,29.2,88.2,1011.8,36.8,11.1,,,0,05:58:35,1421841515,17:36:48,1421883408,0.01,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-22,1421906400,26.5,19,21.8,26.5,19,21.8,13.7,60.84,0,,0,,,,38.9,25.1,91.5,1012.8,41.7,10.9,,,0,05:58:41,1421927921,17:37:15,1421969835,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-23,1421992800,27.2,18,22.2,27.4,18,22.2,15.2,65.82,0,,0,,,,,25.9,83.2,1012,48.4,10.9,,,0,05:58:46,1422014326,17:37:41,1422056261,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-24,1422079200,25.5,18,21.3,25.5,18,21.3,14.2,64.6,0,,0,,,,42.5,31.7,86.8,1012.1,35.8,10.6,,,0,05:58:50,1422100730,17:38:07,1422142687,0.11,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-25,1422165600,24.5,17.9,21.1,24.5,17.9,21.1,13.4,61.99,0,,0,,,,48.2,42,84.5,1010.9,24.3,10.9,,,0,05:58:53,1422187133,17:38:32,1422229112,0.16,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-26,1422252000,23.5,18,20.8,23.5,18,20.8,13.4,62.99,0,,0,,,,57.9,35.6,94.2,1012.1,19.2,10.7,,,0,05:58:55,1422273535,17:38:57,1422315537,0.21,Clear,Clear conditions throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-27,1422338400,24.3,18.2,21.1,24.3,18.2,21.1,14.3,65.49,0,,0,,,,53.4,33.5,85.3,1012.6,44.1,11,,,0,05:58:55,1422359935,17:39:21,1422401961,0.27,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-28,1422424800,23.6,19.1,21.2,23.6,19.1,21.2,14.7,66.7,0,,0,,,,64.8,43.5,83,1010.4,38.7,10.6,,,0,05:58:55,1422446335,17:39:45,1422488385,0.32,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-29,1422511200,24.5,19,21.6,24.5,19,21.6,14.8,65.61,0,,0,,,,57.4,40.2,90.3,1010,31.6,10.9,,,0,05:58:54,1422532734,17:40:08,1422574808,0.37,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-30,1422597600,24.5,19,21.3,24.5,19,21.3,14.1,63.68,0,,0,,,,53.8,34.7,83.9,1011.2,27.9,10.9,,,0,05:58:52,1422619132,17:40:31,1422661231,0.41,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-01-31,1422684000,25.2,18.5,21.4,25.2,18.5,21.4,13.6,61.45,0,,0,,,,55.4,37.1,84.8,1011.4,10.8,11,,,0,05:58:49,1422705529,17:40:52,1422747652,0.45,Clear,Clear conditions throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-01,1422770400,26.3,19.4,22.3,26.3,19.4,22.3,13.7,58.82,0,,0,,,,55.4,34.4,92.3,1011.5,20.1,10.9,,,0,05:58:44,1422791924,17:41:14,1422834074,0.47,Partially cloudy,Clearing in the afternoon.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-02,1422856800,26.5,18.9,22.5,26.5,18.9,22.5,14.8,62.52,0,,0,,,,46.4,30.8,83,1010.3,17,10.9,,,0,05:58:39,1422878319,17:41:34,1422920494,0.49,Clear,Clear conditions throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-03,1422943200,25.5,20.2,22.1,25.5,20.2,22.1,14.9,64.24,0,,0,,,,61.2,38.1,85.3,1010.5,44.2,10.9,,,0,05:58:33,1422964713,17:41:54,1423006914,0.5,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-04,1423029600,26.3,19.3,22.2,26.3,19.3,22.2,14.9,63.81,0,,0,,,,51.6,31.4,91.7,1009.7,40.2,10.9,,,0,05:58:26,1423051106,17:42:13,1423093333,0.5,Partially cloudy,Becoming cloudy in the afternoon.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-05,1423116000,27.3,19,22.6,27.6,19,22.6,15.4,64.71,0,,0,,,,40.7,33,80.3,1010.2,19.7,10.9,,,0,05:58:17,1423137497,17:42:32,1423179752,0.52,Clear,Clear conditions throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-06,1423202400,25.3,19.8,21.7,25.3,19.8,21.7,14.9,65.56,0,,0,,,,57.6,82.8,86.5,1012.1,55.8,10.8,,,0,05:58:08,1423223888,17:42:50,1423266170,0.53,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-07,1423288800,25.3,19.2,22,25.3,19.2,22,14.3,62.31,0,,0,,,,42.5,43.2,85,1012.3,51.8,10.9,,,0,05:57:58,1423310278,17:43:07,1423352587,0.55,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-08,1423375200,25.3,18,21.3,25.3,18,21.3,14.7,67.3,0,,0,,,,37.1,31.7,115.7,1013,59.6,10.3,,,0,05:57:47,1423396667,17:43:24,1423439004,0.59,Partially cloudy,Partly cloudy throughout the day.,wind,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-09,1423461600,26,18.3,21,26,18.3,21,16.9,78.88,0.3,,4.17,,,,,18.4,141.8,1012.6,74.5,10.4,,,0,05:57:35,1423483055,17:43:40,1423525420,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
costa rica,unknown,2015-02-10,1423548000,28,15.8,21.6,27.6,15.8,21.5,14.3,66.09,0.5,,4.35,,,,,22.6,86.3,1011.3,22.7,10.8,,,0,05:57:22,1423569442,17:43:55,1423611835,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"c(""""78764099999"""", """"MROC"""", """"78762099999"""", """"MRPV"""")",obs,9.92976,-84.0857,0,1
