week,year,wci,wci_2_weeks,wci_1_month
01,2016,687.49,687.49,687.49
02,2016,680.416666666667,687.49,687.49
03,2016,722.5825,687.49,687.49
04,2016,751.678,680.416666666667,687.49
05,2016,766.271666666667,722.5825,687.49
06,2016,759.938571428572,751.678,680.416666666667
07,2016,760.38375,766.271666666667,722.5825
08,2016,802.071111111111,759.938571428572,751.678
09,2016,831.331,760.38375,766.271666666667
10,2016,700.57,802.071111111111,759.938571428572
11,2016,674.41,831.331,760.38375
12,2016,666.27,700.57,802.071111111111
13,2016,849.08,674.41,831.331
14,2016,868.06,666.27,700.57
15,2016,839.24,849.08,674.41
16,2016,721.94,868.06,666.27
17,2016,763.5,839.24,849.08
18,2016,1135.57,721.94,868.06
19,2016,1094.67,763.5,839.24
20,2016,1039.32,1135.57,721.94
21,2016,935.17,1094.67,763.5
22,2016,1229.05,1039.32,1135.57
23,2016,1143.47,935.17,1094.67
24,2016,1008.59,1229.05,1039.32
25,2016,924.75,1143.47,935.17
26,2016,1203.94,1008.59,1229.05
27,2016,1394.39,924.75,1143.47
28,2016,1316.94,1203.94,1008.59
29,2016,1210.75,1394.39,924.75
30,2016,1182.77,1316.94,1203.94
31,2016,1374.39,1210.75,1394.39
32,2016,1250.59,1182.77,1316.94
33,2016,1189.33,1374.39,1210.75
34,2016,1090.14,1250.59,1182.77
35,2016,1352.26,1189.33,1374.39
36,2016,1391.26,1090.14,1250.59
37,2016,1439.64,1352.26,1189.33
38,2016,1410.12,1391.26,1090.14
39,2016,1368.65,1439.64,1352.26
40,2016,1235.63,1410.12,1391.26
41,2016,1247.48,1368.65,1439.64
42,2016,1329.42,1235.63,1410.12
43,2016,1319.33,1247.48,1368.65
44,2016,1497.68,1329.42,1235.63
45,2016,1478.32,1319.33,1247.48
46,2016,1437.39,1497.68,1329.42
47,2016,1365.5,1478.32,1319.33
48,2016,1392.96,1437.39,1497.68
49,2016,1408.38,1365.5,1478.32
50,2016,1388.12,1392.96,1437.39
51,2016,1507.12,1408.38,1365.5
52,2016,1501.72,1388.12,1392.96
01,2017,1769.73,1507.12,1408.38
02,2017,1743.24,1501.72,1388.12
03,2017,1799.48,1769.73,1507.12
04,2017,1768.76,1743.24,1501.72
05,2017,1738.98,1799.48,1769.73
06,2017,1717.18,1768.76,1743.24
07,2017,1572.45,1738.98,1799.48
08,2017,1492.86,1717.18,1768.76
09,2017,1496.31,1572.45,1738.98
10,2017,1476.9,1492.86,1717.18
11,2017,1390.91,1496.31,1572.45
12,2017,1350.61,1476.9,1492.86
13,2017,1365.92,1390.91,1496.31
14,2017,1523.86,1350.61,1476.9
15,2017,1457.2,1365.92,1390.91
16,2017,1449.91,1523.86,1350.61
17,2017,1426.7,1457.2,1365.92
18,2017,1612.83,1449.91,1523.86
19,2017,1557.38,1426.7,1457.2
20,2017,1500.87,1612.83,1449.91
21,2017,1500.87,1557.38,1426.7
22,2017,1466.36,1500.87,1612.83
23,2017,1471.18,1500.87,1557.38
24,2017,1464.32,1466.36,1500.87
25,2017,1390.95,1471.18,1500.87
26,2017,1380.96,1464.32,1466.36
27,2017,1549.72,1390.95,1471.18
28,2017,1517.23,1380.96,1464.32
29,2017,1421.4,1549.72,1390.95
30,2017,1406.54,1517.23,1380.96
31,2017,1591.35,1421.4,1549.72
32,2017,1567.66,1406.54,1517.23
33,2017,1540.7,1591.35,1421.4
34,2017,1502.1,1567.66,1406.54
35,2017,1430.69,1540.7,1591.35
36,2017,1401.6,1502.1,1567.66
37,2017,1385.17,1430.69,1540.7
38,2017,1317.53,1401.6,1502.1
39,2017,1292.06,1385.17,1430.69
40,2017,1282.1,1317.53,1401.6
41,2017,1222.37,1292.06,1385.17
42,2017,1207.46,1282.1,1317.53
43,2017,1517.1,1222.37,1292.06
44,2017,1374.82,1207.46,1282.1
45,2017,1230.15,1517.1,1222.37
46,2017,1207.87,1374.82,1207.46
47,2017,1147.47,1230.15,1517.1
48,2017,1157.21,1207.87,1374.82
49,2017,1133.96,1147.47,1230.15
50,2017,1195.21,1157.21,1207.87
51,2017,1211.29,1133.96,1147.47
52,2017,1410,1195.21,1157.21
01,2018,1407.58,1211.29,1133.96
02,2018,1440.99,1410,1195.21
03,2018,1440.99,1407.58,1211.29
04,2018,1465.72,1440.99,1410
05,2018,1539.16,1440.99,1407.58
06,2018,1512,1465.72,1440.99
07,2018,1508,1539.16,1440.99
08,2018,1497,1512,1465.72
09,2018,1465,1508,1539.16
10,2018,1374.6,1497,1512
11,2018,1331,1465,1508
12,2018,1272,1374.6,1497
13,2018,1172,1331,1465
14,2018,1219,1272,1374.6
15,2018,1192,1172,1331
16,2018,1179,1219,1272
17,2018,1157,1192,1172
18,2018,1415,1179,1219
19,2018,1382,1157,1192
20,2018,1367,1415,1179
21,2018,1352,1382,1157
22,2018,1387,1367,1415
23,2018,1427,1352,1382
24,2018,1414,1387,1367
25,2018,1391,1427,1352
26,2018,1378,1414,1387
27,2018,1468,1391,1427
28,2018,1439,1378,1414
29,2018,1487,1468,1391
30,2018,1495,1439,1378
31,2018,1697,1487,1468
32,2018,1692,1495,1439
33,2018,1760,1697,1487
34,2018,1754,1692,1495
35,2018,1754,1760,1697
36,2018,1773,1754,1692
37,2018,1753,1754,1760
38,2018,1725,1773,1754
39,2018,1721,1753,1754
40,2018,1668,1725,1773
41,2018,1636,1721,1753
42,2018,1666,1668,1725
43,2018,1666,1636,1721
44,2018,1207,1666,1668
45,2018,1799,1666,1636
46,2018,1805,1207,1666
47,2018,1721,1799,1666
48,2018,1708,1805,1207
49,2018,1643,1721,1799
50,2018,1623,1708,1805
51,2018,1627,1643,1721
52,2018,1571,1623,1708
01,2019,1793,1627,1643
02,2019,1690,1571,1623
03,2019,1690,1793,1627
04,2019,1766,1690,1571
05,2019,1720,1690,1793
06,2019,1664,1766,1690
07,2019,1683,1720,1690
08,2019,1606,1664,1766
09,2019,1478,1683,1720
10,2019,1440,1606,1664
11,2019,1323,1478,1683
12,2019,1293,1440,1606
13,2019,1324,1323,1478
14,2019,1395,1293,1440
15,2019,1334,1324,1323
16,2019,1330,1395,1293
17,2019,1342,1334,1324
18,2019,1379,1330,1395
19,2019,1394,1342,1334
20,2019,1364,1379,1330
21,2019,1310,1394,1342
22,2019,1291,1364,1379
23,2019,1371,1310,1394
24,2019,1351,1291,1364
25,2019,1351,1371,1310
26,2019,1353,1351,1291
27,2019,1372,1351,1371
28,2019,1309,1353,1351
29,2019,1373,1372,1351
30,2019,1321,1309,1353
